t,d,n,field,type,error
5,3,35,real,equal_norm,0.0
5,4,60,real,equal_norm,9.094947017729282e-13
6,2,7,real,equal_norm,0.0
6,3,47,real,equal_norm,0.0
7,2,8,real,equal_norm,0.0
8,2,9,real,equal_norm,0.0
2,8,51,real,equal_norm,0.0
3,7,158,real,equal_norm,1.8189894035458565e-11
4,6,261,real,equal_norm,1.4551915228366852e-11
5,5,253,real,equal_norm,1.4551915228366852e-11
6,4,154,real,equal_norm,0.0
7,3,61,real,equal_norm,2.696651790756732e-10
7,4,229,real,equal_norm,0.0
8,3,79,real,equal_norm,6.45741238258779e-11
2,5,25,complex,equal_norm,3.410605131648481e-13
1,1,2,real,weighted,0.0
1,1,2,real,equal_norm,0.0
1,1,2,complex,weighted,0.0
1,1,2,complex,equal_norm,0.0
2,1,2,real,weighted,0.0
2,1,2,real,equal_norm,0.0
2,1,2,complex,weighted,0.0
2,1,2,complex,equal_norm,0.0
1,2,2,real,weighted,0.0
1,2,2,complex,weighted,0.0
1,2,2,complex,equal_norm,0.0
3,1,2,real,weighted,0.0
3,1,2,real,equal_norm,0.0
3,1,2,complex,weighted,0.0
3,1,2,complex,equal_norm,4.440892098500626e-16
2,2,3,real,weighted,0.0
2,2,4,complex,weighted,1.3877787807814457e-17
2,2,4,complex,equal_norm,0.0
1,3,3,real,weighted,0.0
1,3,3,complex,weighted,0.0
1,3,3,complex,equal_norm,0.0
4,1,2,real,weighted,0.0
4,1,2,real,equal_norm,0.0
4,1,2,complex,weighted,0.0
4,1,2,complex,equal_norm,0.0
3,2,4,real,weighted,1.734723475976807e-18
2,3,6,real,weighted,3.469446951953614e-18
2,3,9,complex,weighted,1.0846532005892584e-13
2,3,9,complex,equal_norm,1.5413093024108093e-10
1,4,4,real,weighted,1.1102230246251565e-16
1,4,4,complex,weighted,0.0
1,4,4,complex,equal_norm,0.0
5,1,2,real,weighted,0.0
5,1,2,real,equal_norm,0.0
5,1,2,complex,weighted,8.673617379884035e-19
5,1,2,complex,equal_norm,0.0
4,2,5,real,weighted,7.250195452682129e-15
3,3,11,real,weighted,5.024268896975173e-13
2,4,11,real,weighted,6.938893903907228e-18
2,4,16,complex,weighted,1.3010426069826053e-18
2,4,16,complex,equal_norm,0.0
1,5,5,real,weighted,0.0
1,5,5,complex,weighted,1.1102230246251565e-16
1,5,5,complex,equal_norm,3.552713678800501e-15
6,1,2,real,weighted,1.1102230246251565e-16
6,1,2,real,equal_norm,0.0
6,1,2,complex,weighted,2.168404344971009e-19
6,1,2,complex,equal_norm,0.0
5,2,19,real,weighted,9.100858364586853e-10
4,3,45,real,weighted,8.055231165751329e-10
3,4,176,real,weighted,9.54010136224636e-10
2,5,16,real,weighted,2.6020852139652106e-18
2,5,25,complex,weighted,5.485167658622614e-12
1,6,6,real,weighted,0.0
1,6,6,complex,weighted,0.0
1,6,6,complex,equal_norm,0.0
7,1,2,real,weighted,2.168404344971009e-19
7,1,2,real,equal_norm,0.0
7,1,2,complex,weighted,0.0
7,1,2,complex,equal_norm,3.552713678800501e-15
6,2,12,real,weighted,8.532850956367963e-10
5,3,25,real,weighted,8.494363228929282e-10
4,4,47,real,weighted,7.287316648849879e-10
3,5,186,real,weighted,9.845656533208505e-10
2,6,22,real,weighted,2.168404344971009e-18
2,6,36,complex,weighted,1.9780273339403687e-12
2,6,36,complex,equal_norm,2.2737367544323206e-13
1,7,7,real,weighted,4.440892098500626e-16
1,7,7,complex,weighted,0.0
1,7,7,complex,equal_norm,0.0
8,1,2,real,weighted,1.734723475976807e-18
8,1,2,real,equal_norm,0.0
8,1,2,complex,weighted,0.0
