n,error
167,2.1449358757384607e-09
168,1.7895503444045272e-09
169,2.2715288727499624e-09
170,2.297190461734013e-09
171,1.831354778672199e-09
172,1.528176203678921e-09
173,1.3599543135033684e-09
174,1.8285575513615225e-09
175,1.5259217262212347e-09
176,1.7500935697415339e-09
177,1.439212384701587e-09
178,1.84296970630113e-09
179,1.4038791668202074e-09
180,1.87893629048775e-09
181,1.6819879611220977e-09
182,1.5172521461864961e-09
183,1.8811817685033905e-09
184,1.3178652006992578e-09
185,7.711497315850352e-10
186,9.845656533208505e-10
187,1.160238796794011e-09
188,9.383172266946313e-10
189,1.456237416972543e-09
190,1.283656318553818e-09
191,9.112101912230883e-10
192,1.0539612608631135e-09
193,8.323833864856611e-10
194,1.1009124745628285e-09
195,1.1230664324053824e-09
197,9.26755551512343e-10
198,1.1141133110836641e-09
199,7.490764580102584e-10
200,8.658853195104737e-10
201,8.815763302291652e-10
202,9.746953402950014e-10
203,6.316214537635047e-10
204,8.665829953085639e-10
206,7.80177763516806e-10
207,8.549983927786495e-10
208,7.800538774377608e-10
209,6.515479761524583e-10
210,5.864425743635502e-10
211,6.500457982145788e-10
212,6.294706727354137e-10
213,5.570953710061158e-10
214,4.877172683018277e-10
215,6.004827353902988e-10
217,4.672127490905994e-10
218,6.816628622501304e-10
219,5.038137261189509e-10
220,5.664719803181549e-10
221,3.7841295540297817e-10
222,4.975807196093083e-10
223,5.91062451498497e-10
224,6.638799435363594e-10
225,5.060598402078903e-10
226,6.336224258941695e-10
227,5.144318056314663e-10
228,4.376328816778644e-10
229,4.709301994515458e-10
230,4.1535782587924835e-10
231,4.733923446666271e-10
232,3.8980166110837445e-10
233,4.155874519900121e-10
234,2.901756981274219e-10
235,4.054794387592536e-10
236,3.3928280477053004e-10
237,3.8278638818638037e-10
238,4.229325423748511e-10
239,4.098165323972509e-10
240,4.390806273635434e-10
241,3.7169619032687474e-10
242,3.394229590572459e-10
243,3.878892310059915e-10
244,3.7800844911277904e-10
245,3.360967971579314e-10
246,3.0025740815801684e-10
247,3.038154432253189e-10
248,4.5542414033352264e-10
249,3.5678491303073314e-10
250,2.7665417620710173e-10
251,2.0407365022601317e-10
252,3.415998899108244e-10
253,2.1755869522832429e-10
254,3.4381053980843883e-10
255,2.4003993413922836e-10
256,2.3197597383071074e-10
257,2.586815641760121e-10
258,2.0290648583507588e-10
259,2.4826963609657466e-10
260,2.556059268404819e-10
261,2.6521463170123083e-10
262,2.4496719443973056e-10
263,2.594619309991293e-10
264,2.7904259997229224e-10
265,2.3267353483403295e-10
266,2.2896612178831896e-10
267,2.0627449709683153e-10
268,2.0830261130564322e-10
269,2.35366400318345e-10
270,2.2798989733533457e-10
271,2.73045541484656e-10
272,2.1703010292046068e-10
273,1.7614689985739882e-10
274,1.6778511107691815e-10
275,1.9046831163562484e-10
276,2.341342955393657e-10
277,1.8180088895804573e-10
278,1.6290728134668218e-10
279,2.0261019427762413e-10
280,2.201783907099584e-10
281,1.900076429687574e-10
282,1.3186837231192975e-10
283,1.7085101871449524e-10
284,1.7540831143581828e-10
285,1.662515806729155e-10
286,1.460929441689289e-10
287,1.593106400425025e-10
288,1.702758544416748e-10
289,1.7437790315127816e-10
290,1.9331755363852645e-10
291,1.7107973620364752e-10
292,1.5036338545664306e-10
293,1.5759546747794103e-10
294,1.6297805000614263e-10
295,1.1056162381733912e-10
296,1.1245248341458869e-10
297,1.3896412159208813e-10
298,1.0960634909572644e-10
299,1.4716517093261255e-10
300,1.383436863950026e-10
301,1.1838486410451972e-10
302,1.271888652310311e-10
303,1.1022542468710273e-10
304,1.1229353685725174e-10
305,1.5142149458747843e-10
306,1.498428355966951e-10
307,9.966947656918206e-11
308,1.3280219784942695e-10
309,1.708795138523769e-10
310,1.4979107375351935e-10
311,1.063699896431314e-10
312,9.741292603286686e-11
313,8.330320384347941e-11
314,7.48060488174152e-11
315,1.0482186043999419e-10
316,1.1847121609069568e-10
317,1.0994545386068923e-10
318,1.0178948347053183e-10
319,1.1953689572432402e-10
320,7.452506862549704e-11
321,8.121462152091939e-11
322,9.510170478261074e-11
323,7.952523185970399e-11
324,8.337528679665745e-11
325,9.814537121993891e-11
326,1.0785014345558868e-10
327,1.0478902539397466e-10
328,9.38429232210507e-11
329,1.0511925289642282e-10
330,8.90999356112691e-11
331,9.065972738168153e-11
332,9.778982415181161e-11
333,9.749311998165906e-11
334,8.58616850173663e-11
335,1.0312759970022106e-10
336,7.787733017795229e-11
337,9.705720727758695e-11
338,9.55432186010862e-11
339,9.64760917402562e-11
340,7.675784457395956e-11
341,7.615879428042766e-11
342,6.791886856852093e-11
343,8.571706842567301e-11
344,6.86123678901772e-11
345,7.170187102628984e-11
346,8.054933865763145e-11
347,6.288414808781332e-11
348,7.800405127099164e-11
349,8.099084366877134e-11
350,6.832185845617501e-11
351,6.538820059231727e-11
352,7.147220162285644e-11
353,5.850352472532929e-11
354,5.5471825993438723e-11
355,4.6258837275199963e-11
356,5.362054534029876e-11
357,5.994157966014277e-11
358,5.813849110445684e-11
359,7.332900660627024e-11
360,7.351246421323497e-11
361,5.808714790790273e-11
362,7.008989788214201e-11
363,4.686066629625147e-11
364,6.038664229558451e-11
365,6.544402650359125e-11
366,6.008118739982525e-11
367,5.6170588394626856e-11
368,7.582534049907592e-11
369,5.4657678363295566e-11
370,5.0726204710645904e-11
371,4.9892759771852845e-11
372,4.903549018034397e-11
373,5.113566018892996e-11
374,5.908801324765308e-11
375,4.9103017468062884e-11
376,5.339118197353015e-11
377,4.5830662075945616e-11
378,5.401632994790848e-11
379,3.950197641324185e-11
380,4.8419838074368496e-11
381,4.8964678660312825e-11
382,5.5075608755345123e-11
383,4.429379546351289e-11
384,3.730572104014044e-11
385,5.327367340857517e-11
386,3.7042580845311945e-11
387,3.497411660209865e-11
388,4.690385314350889e-11
389,3.5292537808471777e-11
390,3.535966565914089e-11
391,4.431340411801802e-11
392,3.6857717530435135e-11
393,4.598634776283659e-11
394,3.776129927261173e-11
395,3.639752167363349e-11
396,2.3834621936675423e-11
397,3.6438305691300535e-11
398,3.001967288295842e-11
399,4.957840009989026e-11
